Content Type,Model,Content,Evaluation
Retrieved Chunk,,Chunk 1: 3,
,,"[Metadata: chapter: 2 CHAPTER, section_path: ['2 CHAPTER'], chunk_type: text]",
,,,
,,"Chunk 2: (besan, peanuts,",
,,"jaggery,",
,,rajgira gaund) (2),
,,3. Khandvi (4,
,,piece) (40 g),
,,1. Milk (200 ml),
,,with sugar,
,,"[Metadata: section: Ladoo, section_path: ['Ladoo'], chunk_type: text]",
,,,
,,Chunk 3: 5. Dakshta 3 days training,
,,6. Dakshta 5 days TOT,
,,7. Anemia Mukt Bharat Operational guidelines for program managers 2018  ,
,,76,
,,List of Contributors,
,,Ministry of Health and Family Welfare (MoHFW),
,,Dr. Manohar Agnani Addl. Secretary,
,,Ms. Preeti Pant Joint Secretary,
,,Dr. Patibandla Ashok Babu Joint Secretary,
,,Dr. S.K Sikdar Advisor (FP & MH),
,,"Dr. Sumita Ghosh Addl. Commissioner & Incharge (CH, AH, RBSK, CAC, ADs)",
,,Dr. Teja Ram Addl. Commissioner & Incharge (MH & FP),
,,Dr. Sila Deb Addl. Commissioner & Inch...,
,,"[Metadata: chapter: 6 Recording and Reporting for, section: Total number of pregnant women registered for ANC, section_path: ['6 Recording and Reporting for', 'Total number of pregnant women registered for ANC'], chunk_type: text, chunk_index: 3, total_chunks: 6]",
,,,
,,Chunk 4: 90 tablets (to be taken for next three months) should be given to all women undergoing MMA procedure.,
,,"[Metadata: chapter: 8 Schedule for MMA Trainings, section: Iron and Folic Acid Tablets, section_path: ['8 Schedule for MMA Trainings', 'Iron and Folic Acid Tablets'], chunk_type: text]",
,,,
,,Chunk 5: Channa with,
,,ghia,
,,"[Metadata: section: Dal palak or, section_path: ['Dal palak or'], chunk_type: text]",
,,,
,,Chunk 6: omelette,
,,"[Metadata: section: Vegetable, section_path: ['Vegetable'], chunk_type: text]",
,,,
Response,gpt,"3 महीने के बाद गरम तासीर वाली चीजें खाने के बारे में आपका सवाल थोड़ा अस्पष्ट है। यदि आप बच्चे के जन्म के बाद माँ के आहार के संदर्भ में पूछ रहे हैं, तो आमतौर पर यह सलाह दी जाती है कि माँ को संतुलित और पौष्टिक आहार लेना चाहिए जिसमें सभी प्रकार के खाद्य पदार्थ शामिल हों। गरम तासीर वाली चीजें जैसे कि अदरक, लहसुन, गरम मसाले आदि का सेवन मॉडरेशन में किया जा सकता है, बशर्ते कि इससे माँ को या बच्चे को कोई एलर्जी या परेशानी न हो।",
,,,
,,"यदि आप किसी विशेष स्थिति या बीमारी के संदर्भ में पूछ रहे हैं, तो कृपया अधिक जानकारी प्रदान करें ताकि मैं आपको और अधिक सटीक जवाब दे सकूं।",
,,,
Claim,gpt,"Claim 1: Post childbirth, it is generally advised that the mother should consume a balanced and nutritious diet, which includes all kinds of food items.",Factually Correct
,,"Claim 2: Warm-natured foods like ginger, garlic, warm spices can be consumed in moderation, provided that they do not cause any allergies or issues to the mother or the child.",Partially Correct
,,,
Response,gpt_rag,"Ji bilkul, 3 mahine ke baad aap garam taseer wali cheezein kha sakte hain, lekin yeh zaroori hai ki aap apne aahar mein santulit matra mein sabhi tarah ki poshak tatvon ko shaamil karein. Garam taseer wali cheezein jaise ki adrak, lahsun, garam masale aadi ko samay-samay par aur simit matra mein hi istemal karna chahiye. Yadi aapko kisi bhi tarah ki sehat se sambandhit samasya hai to pehle ek swasthya visheshagya se salah zaroor lein.",
,,,
Claim,gpt_rag,Claim 1: 3 mahine ke baad aap garam taseer wali cheezein kha sakte hain,Factually Correct
,,Claim 2: Yeh zaroori hai ki aap apne aahar mein santulit matra mein sabhi tarah ki poshak tatvon ko shaamil karein,Factually Correct
,,"Claim 3: Garam taseer wali cheezein jaise ki adrak, lahsun, garam masale aadi ko samay-samay par aur simit matra mein hi istemal karna chahiye",Partially Correct
,,Claim 4: Yadi aapko kisi bhi tarah ki sehat se sambandhit samasya hai to pehle ek swasthya visheshagya se salah zaroor lein,Factually Correct
,,,
