Content Type,Model,Content,Evaluation
Retrieved Chunk,,"Chunk 1: Mahila Mandals, youth groups or any other such groups can be taken to decide on how to",
,,obtain a vehicle in case of an emergency.  ,
,,"Management of Normal Pregnancy, Labour and the Post-partum Period",
,,MODULE I,
,,29,
,,5. Locate the nearest PHC/FRU: Th e woman and her family members should be aware of,
,,"the nearest health facilities: the PHC, where 24-hour emergency obstetric care services",
,,"are available and the FRU, where facilities for a blood transfusion and surgery are",
,,available.,
,,"[Metadata: section: Identify and arrange for referral transport: Delay in reaching a health care facility is, section_path: ['Identify and arrange for referral transport: Delay in reaching a health care facility is'], chunk_type: text, chunk_index: 1, total_chunks: 2]",
,,,
,,Chunk 2: Solution 2 3 4,
,,"[Metadata: chapter: 8 Schedule for MMA Trainings, section: Povidone Iodine, section_path: ['8 Schedule for MMA Trainings', 'Povidone Iodine'], chunk_type: text]",
,,,
,,"Chunk 3: (besan, peanuts,",
,,"jaggery,",
,,rajgira gaund) (2),
,,3. Khandvi (4,
,,piece) (40 g),
,,1. Milk (200 ml),
,,with sugar,
,,"[Metadata: section: Ladoo, section_path: ['Ladoo'], chunk_type: text]",
,,,
,,Chunk 4: RCH portal and ANMOL tablets.,
,,"[Metadata: section: Maintain all the required registers  along with data entry in, section_path: ['Maintain all the required registers  along with data entry in'], chunk_type: text]",
,,,
,,Chunk 5: then refer to ‘What is important to know?’ from Card 1 (Messages 1 to 5)  ,
,,5,
,,2nd Month,
,,Continue consuming one,
,,Folic acid tablet daily,
,,Clinical examination,
,,Blood pressure,
,,Weight Gestational,
,,weight gain,
,,Snack,
,,Breakfast Lunch,
,,Dinner,
,,Previous Current,
,,ANC services Eat at least 3 main meals,
,,and 1 nutritious snack,
,,Calcium and folate rich foods,
,,Curd Ragi Chicken,
,,liver,
,,Sesame,
,,seeds,
,,Milk Paneer Catla,
,,ƒUJ,
,,Bathua and,
,,methi leaves,
,,th d,
,,CARD 2  ,
,,CARD 3,
,,6,
,,3rd Month,
,,What is important to know?,
,,1.  We will mea...,
,,"[Metadata: section: These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of, section_path: ['These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of'], chunk_type: text, chunk_index: 4, total_chunks: 32]",
,,,
,,Chunk 6: • Instruct them to take the baby to the nearest hospital if these problems occur.,
,,Encourage the mother to maintain skin-to-skin contact as much as possible in,
,,the early days after birth.,
,,/head2rightCase Study 14:  (Ask the trainee to write down the answers to the questions asked in relevant,
,,session of  the Handbook. The suggestive answers have been given here for your reference).,
,,A) B/o Meera day 4 of life has developed 2-3 boils on the abdomen. Baby is active and taking,
,,feeds adequately. On ...,
,,"[Metadata: section: Keep the baby warm, section_path: ['Keep the baby warm'], chunk_type: text, chunk_index: 8, total_chunks: 9]",
,,,
Response,gpt,4 महीने के गर्भावस्था में आपको और आपके बच्चे को सही पोषण मिलना बहुत जरूरी है। यहाँ कुछ खाद्य पदार्थ दिए गए हैं जो आपके और आपके बच्चे की सेहत के लिए अच्छे होंगे:,
,,,
,,"1. **दूध और डेयरी प्रोडक्ट्स**: दूध, दही, और पनीर जैसे डेयरी उत्पादों में कैल्शियम होता है जो बच्चे की हड्डियों के विकास के लिए जरूरी है।",
,,,
,,2. **दालें और फलियां**: ये प्रोटीन का अच्छा स्रोत हैं और ये आपके बच्चे के विकास में मदद करेंगे।,
,,,
,,"3. **हरी पत्तेदार सब्जियां**: पालक, मेथी, और अन्य हरी सब्जियां आयरन और फोलेट के अच्छे स्रोत हैं, जो बच्चे के स्वस्थ विकास के लिए जरूरी हैं।",
,,,
,,"4. **फल**: ताजे फल जैसे संतरा, सेब, केला, और अन्य विटामिन और मिनरल्स से भरपूर होते हैं।",
,,,
,,"5. **अनाज**: गेहूं, चावल, जौ आदि आपको ऊर्जा देंगे और आपके बच्चे के विकास में मदद करेंगे।",
,,,
,,6. **पानी और तरल पदार्थ**: खूब पानी पिएं और जूस जैसे तरल पदार्थ भी लें ताकि हाइड्रेटेड रहें।,
,,,
,,"यदि आपको विटामिन और मिनरल्स की गोलियाँ नहीं मिल रही हैं, तो इन खाद्य पदार्थों के सेवन से आपको और आपके बच्चे को जरूरी पोषण मिल सकता है। हालांकि, यह भी महत्वपूर्ण है कि आप अपने डॉक्टर से सलाह लें और नियमित रूप से चेकअप करवाएं।",
,,,
Claim,gpt,"Claim 1: Dairy products like milk, yogurt, and paneer are rich in calcium, which is essential for the development of the baby's bones.",Factually Correct
,,Claim 2: Legumes and pulses are a good source of protein and will help in the development of the baby.,Factually Correct
,,"Claim 3: Green leafy vegetables such as spinach and fenugreek are good sources of iron and folate, which are crucial for the healthy development of the baby.",Factually Correct
,,"Claim 4: Fresh fruits like oranges, apples, bananas, and others are rich in vitamins and minerals.",Factually Correct
,,"Claim 5: Grains like wheat, rice, and barley will provide energy and help in the baby's development.",Factually Correct
,,Claim 6: Drinking plenty of water and fluids like juice to stay hydrated is recommended.,Factually Correct
,,"Claim 7: If you are unable to get vitamin and mineral supplements, consuming the mentioned food items can provide you and your baby with necessary nutrition.",Partially Correct
,,,
Response,gpt_rag,"4 महीने के गर्भावस्था में आपको और आपके बच्चे को स्वस्थ रखने के लिए पोषण युक्त आहार लेना बहुत जरूरी है। अगर आपको गोलियाँ नहीं मिल रही हैं, तो आप अपने आहार में कुछ खास खाद्य पदार्थ शामिल कर सकती हैं जो फोलिक एसिड और कैल्शियम से भरपूर होते हैं। यहाँ कुछ सुझाव दिए गए हैं:",
,,,
,,"1. **दूध और दूध से बने उत्पाद**: दूध, पनीर, और दही आपके और आपके बच्चे के लिए कैल्शियम का अच्छा स्रोत हैं।",
,,,
,,"2. **हरी पत्तेदार सब्जियाँ**: मेथी, बथुआ, और पालक जैसी हरी सब्जियाँ फोलिक एसिड के अच्छे स्रोत हैं।",
,,,
,,"3. **अनाज**: रागी और बाजरा जैसे अनाज भी आपके आहार में शामिल करने चाहिए, जो कि कैल्शियम और अन्य मिनरल्स से भरपूर होते हैं।",
,,,
,,4. **तिल और अन्य बीज**: तिल के बीज भी कैल्शियम के अच्छे स्रोत हैं।,
,,,
,,"5. **फलियाँ और नट्स**: चना, राजमा, मूंग और बादाम जैसे नट्स और फलियाँ भी प्रोटीन और फोलिक एसिड के अच्छे स्रोत हैं।",
,,,
,,"ये सभी खाद्य पदार्थ आपके और आपके बच्चे के स्वास्थ्य के लिए लाभकारी हैं। इन्हें अपने दैनिक आहार में शामिल करने से आपको और आपके बच्चे को जरूरी पोषण मिलेगा। अगर आपको और जानकारी चाहिए या कोई समस्या हो, तो कृपया नजदीकी स्वास्थ्य केंद्र से संपर्क करें।",
,,,
Claim,gpt_rag,"Claim 1: Milk, paneer, and curd are good sources of calcium for you and your baby.",Factually Correct
,,"Claim 2: Leafy green vegetables like methi, bathua, and spinach are good sources of folic acid.",Factually Correct
,,Claim 3: Grains like ragi and bajra should be included in your diet as they are rich in calcium and other minerals.,Factually Correct
,,Claim 4: Sesame seeds are also a good source of calcium.,Factually Correct
,,"Claim 5: Legumes and nuts such as chana, rajma, moong, and almonds are also good sources of protein and folic acid.",Factually Correct
,,,
Response,mixtral,Answer:**,
,,        ,
,,Mujhe yakin hai ki aapka baccha chaar mahine se bimar hai aur aapko dawa milni nahi hai. Agar aapko hospital mein dawa nahi mil rahi hai to aap dusre hospital ya clinic jaa sakte hain. Agar aapko dusre jagah jana problem hai to aap apne doctor se video call kar sakte hain aur unse dawa mang sakte hain.,
,,,
,,Agar aapka baccha bimar hai to aapko iska ilaj karna chahiye. Aapko iske liye apne bacche ko doctor dekhne bhejna chahiye. Doctor uske symptoms dekhega aur uske anuroop dawa denge. Isse bacche ki sehat sudhar jayegi.,
,,,
,,Agar aapko koi bimari ke bare mein sawal hai to aap mujhse pooch sakte hain. Main aapki madad karne ki koshish karunga.,
,,,
Claim,mixtral,"Claim 1: If a child has been sick for four months and there's no medication available at the hospital, alternate hospitals or clinics can be sought for treatment.",Partially Correct
,,"Claim 2: If travelling to other hospitals is problematic, one can contact their doctor via video call and request medication.",Factually Correct
,,Claim 3: It is important to treat a sick child by showing them to a doctor who will prescribe medication based on the child’s symptoms.,Factually Correct
,,Claim 4: The health of the child will improve by seeking proper medical treatment.,Factually Correct
,,"Claim 5: Any questions about illness can be asked from the AI, and the AI can attempt to assist.",Factually Correct
,,,
Response,mixtral_rag,Answer:,
,,        ,
,,        ,
,,"        Agar aap 4 masi ho gaye hain toh aapko kuchh khane ki khayal rakhna chahiye jisse bacche ki sehat bane. Aap apne diet mein calcium aur folate rich foods shamil karein, jaise ki milk, curd, paneer, ragi, sesame seeds, bathua leaves, methi leaves, chicken liver, etc. Iske alawa, aap apne diet mein protein rich foods bhi shamil karein, jaise ki catla, eggs, etc. Iske alawa, aap apne diet mein fruits aur vegetables bhi shamil karein jisse aapko vitamins aur minerals milenge. Aap apne diet mein kuchh khane ki khayal rakhein jisse aapko koi deficiency nahi ho jaye.",
,,,
,,        Explanation:,
,,"        The patient is asking about what to eat in the 4th month of pregnancy to ensure the baby's health. The answer is to include calcium and folate-rich foods in the diet, such as milk, curd, paneer, ragi, sesame seeds, bathua leaves, methi leaves, chicken liver, etc. Additionally, the patient should include protein-rich foods such as catla, eggs, and fruits and vegetables in their diet to ensure they receive vitamins and minerals. The patient should ensure they are not deficient in any nutrients.",
,,,
Claim,mixtral_rag,"Claim 1: In the 4th month of pregnancy, it is recommended to include calcium and folate-rich foods such as milk, curd, paneer, ragi, sesame seeds, bathua leaves, methi leaves, and chicken liver.",Factually Correct
,,Claim 2: Protein-rich foods such as catla and eggs should be included in the diet during the 4th month of pregnancy.,Factually Correct
,,Claim 3: Fruits and vegetables should be included in the diet during pregnancy to ensure the intake of vitamins and minerals.,Factually Correct
,,Claim 4: It is important to ensure there are no nutrient deficiencies in the diet during pregnancy.,Factually Correct
,,,
Response,llama,Answer:**,
,,         **मैं समझता हूँ कि आप अपने बच्चे की सेहत के बारे में चिंतित हैं।**,
,,,
,,"चलिए, मैं आपको कुछ सामान्य सुझाव देता हूँ जो आपको अपने बच्चे की सेहत को बेहतर बनाने में मदद कर सकते हैं:",
,,,
,,"1.  **पूरक आहार**: अपने बच्चे को पूरक आहार देने से उनकी सेहत में सुधार हो सकता है। आप अपने बच्चे को फल, सब्जियां, साबुत अनाज, और दूध दे सकते हैं।",
,,2.  **नियमित व्यायाम**: नियमित व्यायाम करने से बच्चों की सेहत में सुधार हो सकता है। आप अपने बच्चे को खेलने के लिए प्रोत्साहित कर सकते हैं।,
,,3.  **पर्याप्त नींद**: पर्याप्त नींद लेने से बच्चों की सेहत में सुधार हो सकता है। आप अपने बच्चे को नियमित समय पर सोने के लिए प्रोत्साहित कर सकते हैं।,
,,4.  **स्वास्थ्य जांच**: नियमित स्वास्थ्य जांच कराने से बच्चों की सेहत में सुधार हो सकता है। आप अपने बच्चे को नियमित स्वास्थ्य जांच के लिए ले जा सकते हैं।,
,,,
,,"**कृपया ध्यान दें**: यदि आपको लगता है कि आपके बच्चे की सेहत खराब हो रही है, तो तुरंत डॉक्टर से संपर्क करें।",
,,,
,,"आपके बच्चे की सेहत के बारे में और जानकारी के लिए, मैं आपको किसी स्वास्थ्य विशेषज्ञ से संपर्क करने की सलाह देता हूँ। वे आपको अपने बच्चे",
,,,
Claim,llama,"Claim 1: Providing supplementary foods such as fruits, vegetables, whole grains, and milk can improve a child's health.",Factually Correct
,,Claim 2: Regular exercise can improve children's health.,Factually Correct
,,Claim 3: Adequate sleep can improve children's health.,Factually Correct
,,Claim 4: Regular health check-ups can improve children's health.,Factually Correct
,,"Claim 5: If you think your child's health is deteriorating, contact a doctor immediately.",Factually Correct
,,"Claim 6: For more information about your child's health, consult a health specialist.",Factually Correct
,,,
Response,llama_rag,Answer:,
,,         4 mahine ke baad goli bagera milne ke baad bacche ki sehat ke liye kuchh cheezein karna zaroori hain. ,
,,,
,,"         Pehle, apne doctor se baat karein aur unse pata chalein ki aapki pregnancy kaisi hai aur kya koi samasya hai. ",
,,,
,,         Agar aapko koi samasya hai to aapko hospital mein jaana chahiye. ,
,,,
,,"         Hospital mein, aapko nimnalikhit cheezein kiya ja sakta hai:",
,,,
,,         1. Blood test karna: aapko blood test karna chahiye taaki aapki hemoglobin ki jaanch ki ja sake aur aapki pregnancy ke liye koi samasya hai ya nahi.,
,,,
,,         2. Ultrasound karna: aapko ultrasound karna chahiye taaki aapke bacche ki sehat ki jaanch ki ja sake.,
,,,
,,         3. Doctor ki salah: aapko apne doctor se salah lena chahiye ki aapke bacche ki sehat ke liye kya karna chahiye.,
,,,
,,         4. Nutrition: aapko apne bacche ki nutrition ki jaanch karni chahiye taaki aapke bacche ki sehat badh sake.,
,,,
,,         5. Exercise: aapko apne bacche ki exercise ki jaanch karni chahiye taaki aapke bacche ki sehat badh sake.,
,,,
,,"         In sab cheezon ko dhyan mein rakhte hue, aap apne bacche ki sehat ko surakshit rakh sakte hain. ",
,,,
,,"         Aur, agar aapko koi samasya hai to aapko hospital mein jaana chahiye. Hospital mein, aapko nimnalikhit cheezein kiya ja sakta hai:",
,,,
,,         1. Blood transfusion: agar aapko blood transfusion ki jarurat hai to aapko hospital mein jaana chahiye.,
,,,
,,         2. Surgery: agar aapko surgery ki jarurat hai to aapko hospital mein jaana chahiye.,
,,,
,,         3. Doctor ki salah: aapko apne doctor se salah lena chahiye ki aapke bacche ki sehat ke liye kya karna chahiye.,
,,,
Claim,llama_rag,"Claim 1: In pregnancy, it is important to consult with your doctor to understand the health of your pregnancy and any issues you might have.",Factually Correct
,,Claim 2: Blood tests are needed during pregnancy to check for hemoglobin levels and any other potential issues.,Factually Correct
,,Claim 3: Ultrasound is required to monitor the health of the baby during pregnancy.,Factually Correct
,,Claim 4: Doctor's advice should be sought to determine what is necessary for the baby's health.,Factually Correct
,,Claim 5: Nutrition should be carefully monitored to ensure the baby's health improves during pregnancy.,Factually Correct
,,Claim 6: Exercise should be monitored for the baby during pregnancy to improve its health.,Factually Incorrect
,,"Claim 7: If there are complications, one might need to go to a hospital for a blood transfusion.",Partially Correct
,,"Claim 8: If there are complications, one might need surgery during pregnancy.",Partially Correct
,,,
Response,medalpaca,Answer:**,
,,        1.  Chat Doctor. ,
,,        2.  Chat Doctor. ,
,,        3.  Chat Doctor. ,
,,        4.  Chat Doctor. ,
,,        5.  Chat Doctor. ,
,,        6.  Chat Doctor. ,
,,        7.  Chat Doctor. ,
,,        8.  Chat Doctor. ,
,,        9.  Chat Doctor. ,
,,        10.  Chat Doctor. ,
,,        11.  Chat Doctor. ,
,,        12.  Chat Doctor. ,
,,        13.  Chat Doctor. ,
,,        14.  Chat Doctor. ,
,,        15.  Chat Doctor. ,
,,        16.  Chat Doctor. ,
,,        17.  Chat Doctor. ,
,,        18.  Chat Doctor. ,
,,        19.  Chat Doctor. ,
,,        20.  Chat Doctor. ,
,,        21.  Chat Doctor. ,
,,        22.  Chat Doctor. ,
,,        23.  Chat Doctor. ,
,,        24.  Chat Doctor. ,
,,        25.  Chat Doctor. ,
,,        26.  Chat Doctor. ,
,,        27.  Chat Doctor. ,
,,        28.  Chat Doctor. ,
,,        29.  Chat Doctor. ,
,,        30.  Chat Doctor. ,
,,        31.  Chat Doctor. ,
,,        32.  Chat Doctor. ,
,,        33.  Chat Doctor. ,
,,        34.  Chat Doctor. ,
,,        35.  Chat Doctor. ,
,,        36.  Chat Doctor. ,
,,        37.  Chat Doctor. ,
,,        38.  Chat Doctor. ,
,,        39.  Chat Doctor. ,
,,        40.  Chat Doctor. ,
,,        41.  Chat Doctor. ,
,,        42.  Chat Doctor. ,
,,        43.  Chat Doctor. ,
,,        44.  Chat Doctor. ,
,,        45.  Chat Doctor. ,
,,        46.  Chat Doctor. ,
,,        47.  Chat Doctor. ,
,,        48.,
,,,
Claim,medalpaca,Claim 1: The AI response lists 'Chat Doctor' repeatedly as an answer to the query about what diet to maintain during pregnancy to ensure the health of the baby.,Factually Incorrect
,,,
Response,medalpaca_rag,Answer:,
,,        4 month chal raha h or goli bagera to mil nahi rahi h hospital m or dait m kya kya le sakte h jisse bacche ki sehat bane,
,,,
Claim,medalpaca_rag,Claim 1: 4 month chal raha h,Factually Correct
,,Claim 2: goli bagera to mil nahi rahi h hospital m,Factually Correct
,,Claim 3: dait m kya kya le sakte h jisse bacche ki sehat bane,Factually Correct
,,,
