Content Type,Model,Content,Evaluation
Retrieved Chunk,,Chunk 1: needed?,
,,"[Metadata: section: Update, section_path: ['Update'], chunk_type: text]",
,,,
,,Chunk 2: Faculty,
,,Rs. 1000/,
,,day 2 1 Rs. 2000/-,
,,"[Metadata: section: Honorarium to State, section_path: ['Honorarium to State'], chunk_type: text]",
,,,
,,Chunk 3: cutlet (1),
,,3. Dhokla (4,
,,piece) (50 g),
,,1. Milk (200 ml),
,,with sugar,
,,"2. Ladoo (besan,",
,,"peanuts, jaggery, rajgira",
,,gaund) (2),
,,"[Metadata: section: Vegetable, section_path: ['Vegetable'], chunk_type: text]",
,,,
,,Chunk 4: Channa with,
,,ghia,
,,"[Metadata: section: Dal palak or, section_path: ['Dal palak or'], chunk_type: text]",
,,,
,,Chunk 5: 5. Dakshta 3 days training,
,,6. Dakshta 5 days TOT,
,,7. Anemia Mukt Bharat Operational guidelines for program managers 2018  ,
,,76,
,,List of Contributors,
,,Ministry of Health and Family Welfare (MoHFW),
,,Dr. Manohar Agnani Addl. Secretary,
,,Ms. Preeti Pant Joint Secretary,
,,Dr. Patibandla Ashok Babu Joint Secretary,
,,Dr. S.K Sikdar Advisor (FP & MH),
,,"Dr. Sumita Ghosh Addl. Commissioner & Incharge (CH, AH, RBSK, CAC, ADs)",
,,Dr. Teja Ram Addl. Commissioner & Incharge (MH & FP),
,,Dr. Sila Deb Addl. Commissioner & Inch...,
,,"[Metadata: chapter: 6 Recording and Reporting for, section: Total number of pregnant women registered for ANC, section_path: ['6 Recording and Reporting for', 'Total number of pregnant women registered for ANC'], chunk_type: text, chunk_index: 3, total_chunks: 6]",
,,,
,,Chunk 6: 63,
,,"[Metadata: chapter: 3 Evidence and recommendations, section_path: ['3 Evidence and recommendations'], document_title: antenatal care ",
,,for a positive pregnancy experience,
,,,
,,WHO Library Cataloguing-in-Publication Data,
,,"WHO recommendations on antenatal care for a positive pregnancy experience, document_type: WHO Guidelines, chunk_type: text]",
,,,
Response,gpt,"Agar aapko dawai khane ke baad ulti ho rahi hai, toh yeh samasya kai karanon se ho sakti hai. Yahan kuch sujhav diye ja rahe hain jo aap aazma sakti hain:",
,,,
,,"1. **Dawai Khane ka Tarika Badalna**: Kuch dawaiyan khali pet lene se ulti ho sakti hai. Aap dawai khane se pehle thoda khana kha sakti hain. Lekin dhyan rahe ki kuch dawaiyan khali pet hi leni hoti hain, isliye dawai ke instructions zaroor padhein ya apne doctor se pooch lein.",
,,,
,,"2. **Dawai ko Chhote Hisson mein Baantna**: Agar aapko badi goli nighalne mein pareshani hoti hai, toh doctor se pooch kar dekhein ki kya aap us dawai ko chhote hisson mein baant sakti hain ya nahi.",
,,,
,,"3. **Dawai ke Vikalp ke Baare mein Poochna**: Agar aapko lagatar ulti ho rahi hai, toh apne doctor se baat karein. Ho sakta hai ki woh aapko dawai ka koi dusra roop (jaise liquid form ya capsule) suggest karein jo aapke liye zyada suitable ho.",
,,,
,,"4. **Anti-nausea Medication**: Kuch cases mein, doctor anti-nausea dawai bhi prescribe kar sakte hain jo ulti ko rokne mein madad karegi.",
,,,
,,5. **Dawai Lene ka Samay Badalna**: Kabhi-kabhi dawai lene ka samay badalna bhi madadgar ho sakta hai. Aap apne doctor se is baare mein salah le sakti hain.,
,,,
,,"Agar in upayon ke baawjood bhi aapko ulti ki samasya bani rahti hai, toh zaroori hai ki aap apne doctor se sampark karein. Woh aapki sthiti ko samajhne ke baad behtar salah de sakenge.",
,,,
Claim,gpt,"Claim 1: Some medications can cause vomiting if taken on an empty stomach. Eating a small amount of food before taking the medication might help, but some medications require an empty stomach, so always read the instructions or consult your doctor.",Factually Correct
,,"Claim 2: If you have difficulty swallowing large pills, ask your doctor if you can split the medication into smaller parts.",Factually Correct
,,"Claim 3: If continuous vomiting occurs, you can ask your doctor for an alternative form of the medication (like liquid form or capsule) that might be more suitable.",Factually Correct
,,"Claim 4: In some cases, doctors can prescribe anti-nausea medication to help prevent vomiting.",Factually Correct
,,Claim 5: Changing the timing of taking the medication might help. Consult your doctor about this option.,Factually Correct
,,"Claim 6: If vomiting persists despite trying these measures, it's important to consult your doctor for better advice suited to your condition.",Factually Correct
,,,
