Content Type,Model,Content,Evaluation
Retrieved Chunk,,Chunk 1: found the haemoglobinometer method to be the,
,,most user-friendly method (82).,
,,Values,
,,Please see “Women’s values” in section 3.B.1:,
,,Maternal assessment: Background (p.41).,
,,Resources,
,,Any health-care provider can perform both the,
,,haemoglobinometer and HCS methods after,
,,minimal training. The haemoglobinometer and HCS,
,,methods have been estimated to cost approximately,
,,"US$0.75 and US$0.12 per test, respectively (82).",
,,"Both methods require needles for finger pricks,",
,,"cotton balls, gloves and Sterets® sk...",
,,"[Metadata: chapter: 3 Evidence and recommendations, recommendation: RECOMMENDATION B.1.1: Full blood count testing is the recommended method for diagnosing, section_path: ['3 Evidence and recommendations'], document_title: antenatal care ",
,,for a positive pregnancy experience,
,,,
,,WHO Library Cataloguing-in-Publication Data,
,,"WHO recommendations on antenatal care for a positive pregnancy experience, document_type: WHO Guidelines, chunk_type: text, chunk_index: 5, total_chunks: 8]",
,,,
,,Chunk 2: of pregnancy,
,,3. Preparing delivery trolley/ equipment,
,,"[Metadata: section: Identification and management of different complications, section_path: ['Identification and management of different complications'], chunk_type: text]",
,,,
,,Chunk 3: The transportation mechanisms up to  the cold chain points are different for the,
,,different types of kits and are outlined below.,
,,Transportation of HIV Kits up to the cold chain point,
,,The process for transportation of HIV (Whole Blood Finger Prick Test) kits up to  the,
,,cold chain points is outlined in Figure 1 below:,
,,Figure1: Transport of HIV kits up to cold chain point  ,
,,Supply to be taken by NHM  ,
,,Supply to be taken by NHM,
,,NACO Supplier,
,,77 Consignee Points across country (State/ Divisional l...,
,,"[Metadata: section: Transportation of kits up to the cold chain point, section_path: ['Transportation of kits up to the cold chain point'], chunk_type: text, total_chunks: 3]",
,,,
,,Chunk 4: 63,
,,Annexure 6 :  Urine testing for Sugar and Albumin,
,,Steps,
,,1. Keep all the necessary items ready: urine specimen collection bottles/containers and dipsticks.,
,,2. Check the expiry date on the kit and carefully read the instructions before use.,
,,3. Remove one strip from the bottle and screw the cap tightly.,
,,4. Completely immerse the reagent area of the strip in the urine and remove it immediately.,
,,5. Remove the strip of the urine and tap at the edge of container to remove excess urine.,
,,"[Metadata: chapter: 6 Recording and Reporting for, section: Use the second or third drop of blood for estimation of haemoglobin, section_path: ['6 Recording and Reporting for', 'Use the second or third drop of blood for estimation of haemoglobin'], chunk_type: text]",
,,,
,,Chunk 5: examination using a pregnancy test kit. Th e pregnancy test should be off ered to any woman,
,,in the reproductive age group who comes to you with a history of amenorrhoea or symptoms,
,,of pregnancy.,
,,Th e GoI has made the ‘Nischay’ pregnancy test kit available across the country. Other test kits,
