Content Type,Model,Content,Evaluation
Retrieved Chunk,,"Chunk 1: your baby’s movement now; the baby’s blood circulation has begun and the brain, spinal cord and nerve network",
,,have become fully functional; the teeth and bones have become denser,
,,What is important to know?,
,,"1.  As the 4 th month has started, we will have to repeat some of the",
,,tests; your physical examination and tests will include the following:,
,,Measurements Tests Check for,
,,"Weight Blood hemoglobin level Pallor (conjunctiva, tongue, oral",
,,mucosa and palms),
,,Palpable goitre,
,,Dental and skeletal flu...,
,,"[Metadata: section: These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of, section_path: ['These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of'], chunk_type: text, chunk_index: 8, total_chunks: 32]",
,,,
,,Chunk 2: partum period,
,,"[Metadata: section: Identification and management of complications of post, section_path: ['Identification and management of complications of post'], chunk_type: text]",
,,,
,,"Chunk 3: period of gestation, which needs to be correlated with the fundal height to estimate the",
,,gestational age. Calculate the EDD on this basis. A special note should be made of such,
,,cases in the records.,
,,"/circle6 If the woman is not able to recollect any of the above things, encourage her to mention",
,,"what she believes is her current month of pregnancy. For example, if a woman has come",
,,to the ANC clinic on 20 September and says that she completed eight months of her,
,,"pregnancy 10 days ago, it becomes...",
,,"[Metadata: subsection: History-taking, section_path: ['History-taking'], chunk_type: text, chunk_index: 2, total_chunks: 5]",
,,,
,,Chunk 4: planning method after delivery,
,,Your baby is little over 1.5 feet in length and weighs,
,,about 3 kg; now your baby is fully developed and will,
,,gain more weight,
,,CARD 9,
,,"If the pregnant woman is receiving her ﬁ rst ANC contact in this month, then also refer ‘What is",
,,"important to know?’ from Card 1 (Message 2 only) and from Card 4 (Messages 3, 4 and 5)  ",
,,19,
,,9th Month,
,,Gestational weight,
,,gain,
,,Previous Current,
,,Blood pressure,
,,Continue to,
,,consume IFA tablets,
,,after delivery till,
,,your baby is six,
,,months,
,,Co...,
,,"[Metadata: section: These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of, section_path: ['These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of'], chunk_type: text, chunk_index: 23, total_chunks: 32]",
,,,
,,Chunk 5: This indicates the progress of pregnancy and foetal growth. The uterus becomes an abdominal organ after 12,
,,weeks of gestation. The gestational age (in weeks) corresponds to the fundal height (in cm) after 24 weeks of,
,,gestation. The normal fundal height is different at different weeks of pregnancy. Follow the following steps for,
,,measuring fundal height,
,,∙ Divide the abdomen into parts by imaginary lines to estimate the gestational age through the fundal height.,
,,∙ The most important line is the ...,
,,"[Metadata: chapter: 3 Care during Pregnancy, section: Measuring Fundal height:, section_path: ['3 Care during Pregnancy', 'Measuring Fundal height:'], chunk_type: text, total_chunks: 4]",
,,,
,,"Chunk 6: pregnant women that is, all being in the same month of pregnancy",
,,1  ,
,,1st Month,
,,"1.  Congratulations! Your pregnancy is con ﬁ rmed; register soon so that you get a unique ID number, Mother Child Protection (MCP) card and",
,,start getting ANC services,
,,2.  You should get ANC services 8 times throughout your pregnancy (including PMSMA on the 9 th of every month); Services should include:,
,,CARD 1,
,,Your baby is smaller than a grain of rice but vital organs like,
,,"the heart, brain and spinal cord have alrea...",
,,"[Metadata: section: These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of, section_path: ['These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of'], chunk_type: text, total_chunks: 32]",
,,,
Response,gpt,"If your last menstrual period started on October 13th, and assuming today's date is close to February 13th, you would be approximately 18 weeks into your pregnancy. ",
,,,
,,"At around 18 weeks, your baby is growing rapidly. The baby would be about 5.5 to 6 inches long from head to bottom, and weighs around 6.7 ounces (190 grams). The baby's skeleton is hardening, changing from rubbery cartilage to bone, and the nervous system is developing. The ears are in their final position, and the baby can now hear your voice. The baby is also moving around, though you might or might not have started to feel these movements yet.",
,,,
,,"It's important to continue with regular prenatal check-ups to monitor the health and development of your baby. These visits often include measuring your belly to check the baby's growth, listening to the baby's heartbeat, and discussing any symptoms or concerns you might have.",
,,,
Claim,gpt,"Claim 1: If your last menstrual period started on October 13th, you would be approximately 18 weeks into your pregnancy around February 13th.",Factually Correct
,,"Claim 2: At around 18 weeks, your baby is approximately 5.5 to 6 inches long from head to bottom.",Factually Correct
,,"Claim 3: At around 18 weeks, your baby weighs around 6.7 ounces (190 grams).",Factually Correct
,,"Claim 4: The baby's skeleton is hardening, changing from rubbery cartilage to bone at 18 weeks.",Factually Correct
,,Claim 5: The nervous system is developing at 18 weeks.,Factually Correct
,,"Claim 6: The ears are in their final position by 18 weeks, and the baby can now hear your voice.",Partially Correct
,,"Claim 7: The baby is moving around at 18 weeks, though you might or might not have started to feel these movements yet.",Factually Correct
