Content Type,Model,Content,Evaluation
Retrieved Chunk,,Chunk 1: Blood pressure Other blood parameters Dental and skeletal fluorosis,
,,Body Mass Index (BMI) Urine sugar and albumin Pedal edema and puf ﬁ ness of face,
,,3.  It is normal to experience nausea and vomiting in early pregnancy; still you should try to eat at least 3 main meals and 1 nutritious snack as,
,,this will help you and your baby to meet nutrient requirements,
,,"4.  As your baby’s brain and spinal cord are developing, include foods rich in folate such as catla ﬁ sh, moth beans, kidney beans, soyabe...",
,,"[Metadata: section: These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of, section_path: ['These cards are designed for individual counselling but may be used for group counselling if it is possible to form a homogenous group of'], chunk_type: text, chunk_index: 1, total_chunks: 32]",
,,,
,,Chunk 2: 2. Incomplete abortion with bleeding P/V,
,,"[Metadata: section: Bleeding in early pregnancy, section_path: ['Bleeding in early pregnancy'], chunk_type: text]",
,,,
,,Chunk 3: breastfeeding?,
,,"[Metadata: section: Has the mother started breastfeeding the baby and are there any diffi   culties in, section_path: ['Has the mother started breastfeeding the baby and are there any diffi   culties in'], chunk_type: text]",
,,,
,,"Chunk 4: for the relief of nausea in early pregnancy, based on a woman’s preferences and available",
,,options. (Recommended),
,,Remarks,
,,"• In the absence of stronger evidence, the GDG agreed that these non-pharmacological options are unlikely",
,,to have harmful effects on mother and baby.,
,,• Women should be informed that symptoms of nausea and vomiting usually resolve in the second half of,
,,pregnancy.,
,,"• Pharmacological treatments for nausea and vomiting, such as doxylamine and metoclopramide, should",
,,be reserved f...,
,,"[Metadata: chapter: 3 Evidence and recommendations, subsection: Interventions for common, recommendation: RECOMMENDATION D.1: Ginger, chamomile, vitamin B6 and/ or acupuncture are recommended, section_path: ['3 Evidence and recommendations', 'Interventions for common'], document_title: antenatal care ",
,,for a positive pregnancy experience,
,,,
,,WHO Library Cataloguing-in-Publication Data,
,,"WHO recommendations on antenatal care for a positive pregnancy experience, document_type: WHO Guidelines, chunk_type: text]",
,,,
,,Chunk 5: pregnant woman,
,,"[Metadata: chapter: 9 Screening for Syphilis, section: Immediately treat, section_path: ['9 Screening for Syphilis', 'Immediately treat'], chunk_type: text]",
,,,
,,Chunk 6: Notes,
,,/head2rightExcessive vomiting during pregnancy that affects the day to day activity & health of  the mother.,
,,"/head2rightCommon in Primigravidas, multiple pregnancy and molar pregnancy.",
,,"/head2rightPresence of tachycardia, dehydration and ketonuria.",
,,"/head2rightSevere cases need admission, I.V . fluids and antiemetic drugs.  ",
,,93,
