Content Type,Model,Content,Evaluation
Retrieved Chunk,,"Chunk 1: Th e initial haemoglobin level will serve as a baseline with which the later results, obtained",
,,"at the three subsequent antenatal visits, can be compared. Haemoglobin estimation can be",
,,done at SCs or the outreach level by the Sahli method.  ,
,,Antenatal Care and Skilled Attendance at Birth by ANMs/LHVs/SNsGUIDELINES,
,,24,
,,A woman who has a haemoglobin level below 11 g/dl at any time during the pregnancy is,
,,considered to be suff ering from anaemia.,
,,Box 6: Levels of Anaemia in Pregnancy,
,,Haemoglobin l...,
,,"[Metadata: section: Auscultation of the FHS, section_path: ['Auscultation of the FHS'], chunk_type: text, chunk_index: 11, total_chunks: 23]",
,,,
,,Chunk 2: • Women with Hb < 7 gm% at term should deliver at FRU.,
,,• Blood loss during delivery must be minimized by practicing AMTSL in all cases.,
,,Indications and dose for parenteral iron therapy:,
,,• Indication–,
,,o Intolerance to oral iron.,
,,o Persistent non compliance.,
,,o I.V . Dose : 500 mg of  iron dextran in 10 ml. of  saline solution given over a period of,
,,10 minutes following a test dose of 1-2 drops (should not be initiated below FRU).,
,,o IM Dose: 100 mg. of  iron dextran in 2 ml. of  saline solution....,
,,"[Metadata: section: The presence of meconium, section_path: ['The presence of meconium'], chunk_type: text, chunk_index: 65, total_chunks: 152]",
,,,
,,Chunk 3: • 1-hour plasma glucose  10.0 mmol/L (180 mg/ dL) following a 75 g oral glucose load,
,,• 2-hour plasma glucose 8.5–11.0 mmol/L (153–199 mg/ dL) following a 75 g oral glucose load,
,,Diabetes mellitus in pregnancy should be diagnosed if one or more of the following criteria are met:,
,,• fasting plasma glucose  7.0 mmol/L (126 mg/ dL),
,,• 2-hour plasma glucose  11.1 mmol/L (200 mg/ dL) following a 75 g oral glucose load,
,,• random plasma glucose  11.1 mmol/L (200 mg/ dL) in the presence of diabetes sympto...,
,,"[Metadata: chapter: 3 Evidence and recommendations, recommendation: RECOMMENDATION B1.4: Hyperglycaemia first detected at any time during pregnancy should, section_path: ['3 Evidence and recommendations'], document_title: antenatal care ",
,,for a positive pregnancy experience,
,,,
,,WHO Library Cataloguing-in-Publication Data,
,,"WHO recommendations on antenatal care for a positive pregnancy experience, document_type: WHO Guidelines, chunk_type: text, chunk_index: 4, total_chunks: 5]",
,,,
,,Chunk 4: Body Mass Index (if,
,,pregnancy <20 weeks),
,,BMI 18.5-22.9 Kg/m2 or Thinness: BMI 16-,
,,18.49 Kg/m2 or,
,,Severe thinness: BMI,
,,<16 Kg/m2 or,
,,Overweight: 23-24.99,
,,Kg/m2] or,
,,Obese: 25 Kg/m2 or,
,,Gestational weight,
,,gain,
,,"2 kg/month, second",
,,trimester onwards,
,,"<1kg/month [8,9] and",
,,>3 kg/month second,
,,trimester onwards or,
,,Haemoglobin level ≥11g/dl  7-10.9 g/dl  <7 g/dl or,
,,Any medical risk/,
,,clinical signs,
,,No sign of night,
,,blindness/visible Goitre/,
,,skeletal fluorosis and No,
,,medical risk,
,,Signs of night blindness/,
,,pa...,
,,"[Metadata: chapter: 3 Care during Pregnancy, section: Ask for Symptoms:, section_path: ['3 Care during Pregnancy', 'Ask for Symptoms:'], chunk_type: text, chunk_index: 12, total_chunks: 19]",
,,,
,,"Chunk 5: they are yellowish. When the bilirubin level is high, they tend to be brown.",
,,/circle6 Approximately 3%–5% of pregnant women have abnormal liver function tests and,
,,"however, jaundice in pregnancy is relatively rare but has potentially serious consequences",
,,for maternal and foetal health.,
,,Pulse,
,,"Th e normal pulse rate is 60–90 beats per minute. If the pulse rate is persistently high or low,",
,,"with or without other symptoms, the woman requires medical attention at the PHC/FRU.",
,,Respiratory rate,
,,It is ...,
,,"[Metadata: subsection: General examination, section_path: ['General examination'], chunk_type: text, chunk_index: 1, total_chunks: 9]",
,,,
,,Chunk 6: Visit FRU Visit 24 hour PHC,
,,/circle6 Malpresentation /circle6  High fever with or without abdominal,
,,"pain, too weak to get out of bed",
,,/circle6 Multiple pregnancy /circle6 Fast or diffi  cult breathing,
,,/circle6  Any bleeding P/V during pregnancy and,
,,aft er delivery (a pad is soaked in less,
,,than 5 minutes),
,,/circle6  Haemoglobin 7–11 g% even aft er,
,,consuming IFA tablets for 30 days,
,,"/circle6 Severe headache with blurred vision /circle6  Excessive vomiting, unable to take",
