stage,question,responses,total_entries,response_rate
week_41,No Question,1164,6441,18.07172799254774
41_uninitialized,No Question,1821,6216,29.295366795366796
week_40,No Question,920,5634,16.32942847000355
week_38,No Question,1101,5262,20.923603192702394
week_39,No Question,1023,5121,19.976567076742825
week_36,No Question,1221,4890,24.969325153374232
week_37,No Question,1060,4820,21.991701244813278
week_35,No Question,1134,4385,25.860889395667048
week_34,No Question,1170,4085,28.64137086903305
week_32,No Question,1084,3946,27.47085656360872
week_33,No Question,1128,3945,28.59315589353612
week_31,No Question,948,3625,26.151724137931037
week_30,No Question,927,3403,27.240669997061417
week_29,No Question,929,3393,27.379899793692896
week_28,No Question,875,3138,27.88400254939452
week_27,No Question,808,3017,26.78157109711634
week_26,No Question,885,2949,30.010172939979658
32_uninitialized,No Question,893,2753,32.437341082455504
week_25,No Question,773,2729,28.32539391718578
week_24,No Question,756,2643,28.603859250851304
week_23,No Question,724,2591,27.94287919722115
week_22,No Question,678,2442,27.764127764127768
week_21,No Question,643,2421,26.559273027674514
41_choose-anc-or-pnc," Which situation describes you?
{{I'm pregnant}}
{{I had my baby}}
{{Neither}}",2282,2324,98.19277108433735
week_20,No Question,641,2268,28.26278659611993
41_verify_country,No Question,2238,2238,100.0
41_userwantsanctips,No Question,0,2014,0.0
week_19,No Question,623,2000,31.15
33_uninitialized,No Question,591,1969,30.015236160487557
41_ask_baby_due,No Question,0,1952,0.0
35_uninitialized,No Question,485,1940,25.0
week_18,No Question,627,1903,32.947976878612714
29_uninitialized,No Question,586,1899,30.858346498156923
41_nlp_maternal_health,No Question,0,1819,0.0
41_pf_stage, ✅ Onboarding Complete!,1807,1808,99.94469026548673
41_welcome,No Question,0,1808,0.0
week_17,No Question,581,1800,32.27777777777778
28_uninitialized,No Question,569,1796,31.681514476614698
37_uninitialized,No Question,448,1715,26.122448979591837
31_uninitialized,No Question,456,1714,26.60443407234539
24_uninitialized,No Question,559,1691,33.05736250739207
week_16,No Question,521,1646,31.652490886998784
23_uninitialized,No Question,474,1622,29.22318125770654
27_uninitialized,No Question,425,1608,26.430348258706466
41_end,No Question,0,1601,0.0
41_ask_baby_due_day,No Question,0,1595,0.0
40_uninitialized,No Question,623,1590,39.18238993710692
week_15,No Question,491,1588,30.919395465994963
35_exit,No Question,0,1558,0.0
41_ask_baby_due_month,No Question,0,1555,0.0
25_uninitialized,No Question,450,1542,29.18287937743191
week_14,No Question,438,1489,29.415715245130958
22_uninitialized,No Question,454,1488,30.510752688172044
41_exit,No Question,0,1466,0.0
18_uninitialized,No Question,488,1425,34.24561403508772
39_uninitialized,No Question,316,1413,22.363765038924274
16_uninitialized,No Question,494,1406,35.13513513513514
week_13,No Question,427,1381,30.919623461259953
41_anc_visit_assessment," Did you go for your checkup?

{{Yes}}
{{No}}",1008,1353,74.50110864745011
21_uninitialized,No Question,382,1341,28.486204325130497
36_uninitialized,No Question,662,1327,49.886963074604374
36_uninitialized," You are due for a health checkup ⏰.

Please check with your doctor/ASHA to confirm the date for the checkup Are you planning to meet with your ASHA or doctor next week?

{{Yes,have appointment}}
{{Going,No appointment}}
{{No, I'm not going}}",887,1322,67.09531013615734
15_uninitialized,No Question,450,1312,34.29878048780488
